Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Obs. ID,DOWNLOADABLE
IRC+10216,146.999727351,13.2939440997,JCMTCAL,56328.5341667,45,SCUBA-2,SCUBA-2-450um,262,pointing,science,raw-450um,scuba2_00045_20130205T124838,caom:JCMT/scuba2_00045_20130205T124838/raw-450um
IRC+10216,146.9931624428,13.2838054934,JCMTCAL,56331.3803009,37,SCUBA-2,SCUBA-2-450um,170,pointing,science,raw-450um,scuba2_00037_20130208T090711,caom:JCMT/scuba2_00037_20130208T090711/raw-450um
IRC+10216,146.993162406,13.2819999431,JCMTCAL,56333.3372106,32,SCUBA-2,SCUBA-2-450um,168,pointing,science,raw-450um,scuba2_00032_20130210T080213,caom:JCMT/scuba2_00032_20130210T080213/raw-450um
IRC+10216,146.9934478504,13.2836665971,JCMTCAL,56598.6259606,50,SCUBA-2,SCUBA-2-450um,103,pointing,science,raw-450um,scuba2_00050_20131102T145753,caom:JCMT/scuba2_00050_20131102T145753/raw-450um
IRC+10216,146.9930197449,13.2843610469,JCMTCAL,56562.7634722,66,SCUBA-2,SCUBA-2-450um,105,pointing,science,raw-450um,scuba2_00066_20130927T181902,caom:JCMT/scuba2_00066_20130927T181902/raw-450um
IRC+10216,146.9918780765,13.283111066,JCMTCAL,56316.4192477,37,SCUBA-2,SCUBA-2-450um,175,pointing,science,raw-450um,scuba2_00037_20130124T100335,caom:JCMT/scuba2_00037_20130124T100335/raw-450um
IRC+10216,147.017424854,13.3046371034,JCMTCAL,56383.2544097,13,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,scuba2_00013_20130401T060554,caom:JCMT/scuba2_00013_20130401T060554/raw-450um
IRC+10216,146.9970158447,13.2943608747,JCMTCAL,56299.6877546,55,SCUBA-2,SCUBA-2-450um,126,pointing,science,raw-450um,scuba2_00055_20130107T162951,caom:JCMT/scuba2_00055_20130107T162951/raw-450um
IRC+10216,146.9814598428,13.3058885003,JCMTCAL,56653.6636227,46,SCUBA-2,SCUBA-2-450um,106,pointing,science,raw-450um,scuba2_00046_20131227T155504,caom:JCMT/scuba2_00046_20131227T155504/raw-450um
IRC+10216,146.9917354594,13.2915832144,JCMTCAL,56615.7302546,71,SCUBA-2,SCUBA-2-450um,249,pointing,science,raw-450um,scuba2_00071_20131119T172928,caom:JCMT/scuba2_00071_20131119T172928/raw-450um
