Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Obs. ID,DOWNLOADABLE
oCeti,34.84278593,-2.965055628,JCMTCAL,56984.39904,26,SCUBA-2,SCUBA-2-850um,193,pointing,science,scuba2_00026_20141123T093425,caom:JCMT/scuba2_00026_20141123T093425/raw-850um
oCeti,34.842925,-2.965055628,JCMTCAL,57012.3252,20,SCUBA-2,SCUBA-2-850um,229,pointing,science,scuba2_00020_20141221T074808,caom:JCMT/scuba2_00020_20141221T074808/raw-850um
oCeti,34.84111707,-2.973527802,JCMTCAL,56886.49,34,SCUBA-2,SCUBA-2-850um,228,pointing,science,scuba2_00034_20140817T114529,caom:JCMT/scuba2_00034_20140817T114529/raw-850um
oCeti,34.84111703,-2.963666755,JCMTCAL,57008.31104,33,SCUBA-2,SCUBA-2-850um,354,pointing,science,scuba2_00033_20141217T072657,caom:JCMT/scuba2_00033_20141217T072657/raw-850um
oCeti,34.84209056,-2.965055624,JCMTCAL,57018.29016,20,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00020_20141227T065656,caom:JCMT/scuba2_00020_20141227T065656/raw-850um
oCeti,34.84362037,-2.964638967,JCMTCAL,56971.48947,41,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00041_20141110T114440,caom:JCMT/scuba2_00041_20141110T114440/raw-850um
oCeti,34.84083888,-2.963944536,JCMTCAL,56882.65032,61,SCUBA-2,SCUBA-2-850um,188,pointing,science,scuba2_00061_20140813T153529,caom:JCMT/scuba2_00061_20140813T153529/raw-850um
oCeti,34.84348129,-2.964638968,JCMTCAL,56903.68267,59,SCUBA-2,SCUBA-2-850um,230,pointing,science,scuba2_00059_20140903T162231,caom:JCMT/scuba2_00059_20140903T162231/raw-850um
oCeti,34.84139522,-2.973527802,JCMTCAL,56979.23169,38,SCUBA-2,SCUBA-2-850um,230,pointing,science,scuba2_00038_20141118T053020,caom:JCMT/scuba2_00038_20141118T053020/raw-850um
oCeti,34.84056077,-2.97297225,JCMTCAL,56961.30249,24,SCUBA-2,SCUBA-2-850um,271,pointing,science,scuba2_00024_20141031T071453,caom:JCMT/scuba2_00024_20141031T071453/raw-850um
oCeti,34.83986539,-2.97075005,JCMTCAL,56956.36693,24,SCUBA-2,SCUBA-2-850um,189,pointing,science,scuba2_00024_20141026T084731,caom:JCMT/scuba2_00024_20141026T084731/raw-850um
oCeti,34.84209056,-2.965055624,JCMTCAL,56907.59262,57,SCUBA-2,SCUBA-2-850um,190,pointing,science,scuba2_00057_20140907T141311,caom:JCMT/scuba2_00057_20140907T141311/raw-850um
oCeti,34.84083889,-2.966166748,JCMTCAL,56981.35834,33,SCUBA-2,SCUBA-2-850um,188,pointing,science,scuba2_00033_20141120T083451,caom:JCMT/scuba2_00033_20141120T083451/raw-850um
oCeti,34.84097789,-2.946166932,JCMTCAL,56833.77902,54,SCUBA-2,SCUBA-2-850um,355,pointing,science,scuba2_00054_20140625T184045,caom:JCMT/scuba2_00054_20140625T184045/raw-850um
oCeti,34.84236871,-2.965055627,JCMTCAL,56956.46876,35,SCUBA-2,SCUBA-2-850um,188,pointing,science,scuba2_00035_20141026T111447,caom:JCMT/scuba2_00035_20141026T111447/raw-850um
oCeti,34.84278593,-2.965055628,JCMTCAL,56844.78058,67,SCUBA-2,SCUBA-2-850um,191,pointing,science,scuba2_00067_20140706T184314,caom:JCMT/scuba2_00067_20140706T184314/raw-850um
oCeti,34.83819649,-2.969083374,JCMTCAL,56843.83267,79,SCUBA-2,SCUBA-2-850um,268,pointing,science,scuba2_00079_20140705T195826,caom:JCMT/scuba2_00079_20140705T195826/raw-850um
oCeti,34.83986539,-2.970888937,JCMTCAL,56979.30362,46,SCUBA-2,SCUBA-2-850um,187,pointing,science,scuba2_00046_20141118T071707,caom:JCMT/scuba2_00046_20141118T071707/raw-850um
oCeti,34.83847464,-2.972555588,JCMTCAL,56988.26799,23,SCUBA-2,SCUBA-2-850um,269,pointing,science,scuba2_00023_20141127T062509,caom:JCMT/scuba2_00023_20141127T062509/raw-850um
oCeti,34.84028262,-2.972694472,JCMTCAL,56884.53443,44,SCUBA-2,SCUBA-2-850um,228,pointing,science,scuba2_00044_20140815T124857,caom:JCMT/scuba2_00044_20140815T124857/raw-850um
